reference,id,source,type,business,price,price_num,price_m2,area_m2,private_area,private_area_num,total_area,total_area_num,land_area,land_area_num,dorms,suites,bathrooms,parking,floor,address_complete,street,number,neighborhood,city,uf,latitude,longitude,advertiser,updated_days,url
41320000406,b5b6fd91-c004-4546-8b8d-caf5eb0c2067,sub100,Casa,Venda,"950.000,00",950000.0,5722.89,166.0,"0,00",0.0,"166,00",166.0,"360,00",360.0,2,1,3,2,,"Rua Rio Encantado,  - Jardim Novo Oásis, Maringá - PR",Rua Rio Encantado,,Jardim Novo Oásis,Maringá,PR,-23.4056098,-51.8947595,Innovant Imóveis,0,https://sub100.com.br/imoveis/41320000406/venda/casa-em-maringa-pr/jardim-novo-oasis
37620001209,b7b11408-332f-481b-b887-29fbb496d494,sub100,Casa,Venda,"950.000,00",950000.0,3925.62,242.0,"0,00",0.0,"242,00",242.0,"360,00",360.0,2,2,4,0,,"Rua Poeta Ávares de Azevedo, 116, 116 - Parque Avenida, Maringá - PR",Rua Poeta Ávares de Azevedo,116,Parque Avenida,Maringá,PR,-23.3870294,-51.9248035,Imobiliária Alte,0,https://sub100.com.br/imoveis/37620001209/venda/casa-em-maringa-pr/parque-avenida
35620001020,a5af1ed5-5c25-4d9d-b637-ed4af6df5a1c,sub100,Apartamento,Venda,"950.000,00",950000.0,7786.89,122.0,"122,00",122.0,"199,00",199.0,"0,00",0.0,0,1,2,2,,",  - Zona 07, Maringá - PR",,,Zona 07,Maringá,PR,-23.41850471496582,-51.93342590332031,Barak Imóveis,39,https://sub100.com.br/imoveis/35620001020/venda/apartamento-em-maringa-pr/zona-07
8220002538,a85a30d8-7d27-4f10-9323-20977eb5a9be,sub100,Casa,Venda,"950.000,00",950000.0,6884.06,138.0,"0,00",0.0,"138,00",138.0,"200,00",200.0,2,1,2,3,,", 509 - Jardim Munique, Maringá - PR",,509,Jardim Munique,Maringá,PR,-23.3748703,-51.9641771,Madeira ML Empreendimentos Imobiliários,0,https://sub100.com.br/imoveis/8220002538/venda/casa-em-maringa-pr/jardim-munique
34420000746,c54f4327-f5e6-4d03-ab06-a056f7c9168c,sub100,Casa,Venda,"950.000,00",950000.0,5588.24,170.0,"0,00",0.0,"170,00",170.0,"200,00",200.0,0,3,3,0,,"Rua Tonico e Tinoco, 135, casa a - Jardim Espanha, Maringá - PR",Rua Tonico e Tinoco,135,Jardim Espanha,Maringá,PR,-23.4593596,-51.959258,Soma Soluções Imobiliárias,0,https://sub100.com.br/imoveis/34420000746/venda/casa-em-maringa-pr/jardim-espanha
50320001150,c6b78a61-30cc-4e48-b5ff-5f61b4030369,sub100,Apartamento,Venda,"950.000,00",950000.0,9500.0,100.0,"100,00",100.0,"0,00",0.0,"0,00",0.0,2,1,2,2,,"Rua Francisco Glicério, 794 - Zona 07, Maringá - PR",Rua Francisco Glicério,794,Zona 07,Maringá,PR,-23.4140871,-51.9300033,Imobiliária Patrimônio,0,https://sub100.com.br/imoveis/50320001150/venda/apartamento-em-maringa-pr/zona-07
35020000315,c8a03beb-47e0-4ee4-92b2-8fd5b1ba6ed8,sub100,Apartamento,Venda,"950.000,00",950000.0,11434.76,83.08,"83,08",83.08,"161,99",161.99,"0,00",0.0,1,1,2,2,,"Rua Cambira, 370, vagas 55/56 - Zona 08, Maringá - PR",Rua Cambira,370,Zona 08,Maringá,PR,-23.4390654,-51.9127858,Legado Urbano,0,https://sub100.com.br/imoveis/35020000315/venda/apartamento-em-maringa-pr/zona-08
21220002951,bc78b24e-083c-443c-9ff4-a9b74f7b666b,sub100,Sobrado,Venda,"950.000,00",950000.0,4750.0,200.0,"0,00",0.0,"200,00",200.0,"0,00",0.0,3,0,3,5,,"Rua Darville Antônio Huergo,  - Parque das Laranjeiras, Maringá - PR",Rua Darville Antônio Huergo,,Parque das Laranjeiras,Maringá,PR,-23.3921209,-51.9580526,Imobiliária Herval,131,https://sub100.com.br/imoveis/21220002951/venda/sobrado-em-maringa-pr/parque-das-laranjeiras
34420000707,bc9bc171-c579-4bcf-b017-685c3f8ddabf,sub100,Apartamento,Venda,"950.000,00",950000.0,11728.4,81.0,"81,00",81.0,"0,00",0.0,"0,00",0.0,1,1,2,1,,"Rua Vasco da Gama, 165 - Vila Marumby, Maringá - PR",Rua Vasco da Gama,165,Vila Marumby,Maringá,PR,-23.4429979,-51.9263775,Soma Soluções Imobiliárias,0,https://sub100.com.br/imoveis/34420000707/venda/apartamento-em-maringa-pr/vila-marumby
25320000456,bfe0e4a3-c2fa-48cf-acf0-f99a63d325d2,sub100,Casa,Venda,"950.000,00",950000.0,4279.28,222.0,"0,00",0.0,"222,00",222.0,"222,00",222.0,2,1,3,4,,"Rua Guaratinga, 69, casa - Jardim dos Pássaros, Maringá - PR",Rua Guaratinga,69,Jardim dos Pássaros,Maringá,PR,-23.4014362,-51.9734519,Euclides Guimarães Corretor de Imóveis,0,https://sub100.com.br/imoveis/25320000456/venda/casa-em-maringa-pr/jardim-dos-passaros
96920000341,c031a7a4-4138-40b6-b536-bf401039ef5c,sub100,Apartamento,Venda,"950.000,00",950000.0,6934.31,137.0,"137,00",137.0,"0,00",0.0,"0,00",0.0,2,1,1,2,,",  - Zona 07, Maringá - PR",,,Zona 07,Maringá,PR,-23.4133672,-51.9439959,Flora Imóveis,0,https://sub100.com.br/imoveis/96920000341/venda/apartamento-em-maringa-pr/zona-07
2620000218,93fe2470-1ca7-4968-91d8-fce769362b00,sub100,Apartamento,Venda,"950.000,00",950000.0,9895.83,96.0,"96,00",96.0,"155,00",155.0,"0,00",0.0,2,1,1,2,,"Rua Quintino Bocaiúva, 298 - Zona 07, Maringá - PR",Rua Quintino Bocaiúva,298,Zona 07,Maringá,PR,-23.4154232,-51.94612679999999,Imobiliária Paiaguás,0,https://sub100.com.br/imoveis/2620000218/venda/apartamento-em-maringa-pr/zona-07
34020000458,979fc590-dffd-40e1-8f2e-cb7e7640514b,sub100,Casa,Venda,"950.000,00",950000.0,4523.81,210.0,"0,00",0.0,"210,00",210.0,"300,00",300.0,2,1,2,4,,",  - Jardim dos Pássaros, Maringá - PR",,,Jardim dos Pássaros,Maringá,PR,-23.4209995,-51.9330558,André Sibilin Corretor de Imóveis,0,https://sub100.com.br/imoveis/34020000458/venda/casa-em-maringa-pr/jardim-dos-passaros
34020000440,98c46975-208f-4c4a-948a-12a8183d0c11,sub100,Casa,Venda,"950.000,00",950000.0,5978.6,158.9,"0,00",0.0,"158,90",158.9,"244,00",244.0,0,3,0,3,,",  - Zona 31, Maringá - PR",,,Zona 31,Maringá,PR,-23.3833674,-51.9280347,André Sibilin Corretor de Imóveis,0,https://sub100.com.br/imoveis/34020000440/venda/casa-em-maringa-pr/zona-31
50320000182,99cb0330-0699-4245-adb6-aa0e618ca59e,sub100,Apartamento,Venda,"950.000,00",950000.0,12025.32,79.0,"79,00",79.0,"0,00",0.0,"0,00",0.0,2,1,2,1,,"Praça Santo Antônio, 86 - Vila Santo Antônio, Maringá - PR",Praça Santo Antônio,86,Vila Santo Antônio,Maringá,PR,-23.4081035,-51.9277137,Imobiliária Patrimônio,0,https://sub100.com.br/imoveis/50320000182/venda/apartamento-em-maringa-pr/vila-santo-antonio
21220002762,9fe130a9-8995-4b76-beae-d8a8d9a8e15f,sub100,Sobrado,Venda,"950.000,00",950000.0,5864.2,162.0,"0,00",0.0,"162,00",162.0,"0,00",0.0,2,1,2,2,,"Rua Sindicalista Antônio Luiz de Jesus,  - Jardim Dias II, Maringá - PR",Rua Sindicalista Antônio Luiz de Jesus,,Jardim Dias II,Maringá,PR,-23.3784959,-51.9180466,Imobiliária Herval,248,https://sub100.com.br/imoveis/21220002762/venda/sobrado-em-maringa-pr/jardim-dias-ii
50320000768,a0154f2b-6755-4107-8f48-3287fa879e4d,sub100,Apartamento,Venda,"950.000,00",950000.0,12025.32,79.0,"79,00",79.0,"0,00",0.0,"0,00",0.0,2,1,2,1,,"Praça Santo Antônio, 86 - Vila Santo Antônio, Maringá - PR",Praça Santo Antônio,86,Vila Santo Antônio,Maringá,PR,-23.4081035,-51.9277137,Imobiliária Patrimônio,0,https://sub100.com.br/imoveis/50320000768/venda/apartamento-em-maringa-pr/vila-santo-antonio
3420000590,a060e5ad-57bb-4d27-a23a-7a92953dd9e0,sub100,Sobrado,Venda,"950.000,00",950000.0,4808.91,197.55,"0,00",0.0,"197,55",197.55,"150,64",150.64,2,1,3,2,,"Rua Pioneiro Nereu Mazzer, 179, 179 - Parque das Grevíleas, Maringá - PR",Rua Pioneiro Nereu Mazzer,179,Parque das Grevíleas,Maringá,PR,-23.3892084,-51.9219786,Shimizu Imóveis,0,https://sub100.com.br/imoveis/3420000590/venda/sobrado-em-maringa-pr/parque-das-grevileas
34420000788,8d3cb597-6b13-45c6-bc7b-5423830a0d67,sub100,Casa,Venda,"950.000,00",950000.0,6168.83,154.0,"0,00",0.0,"154,00",154.0,"242,00",242.0,0,3,4,3,,"Rua Pioneiro Hideo Toda, 366 - Zona 31, Maringá - PR",Rua Pioneiro Hideo Toda,366,Zona 31,Maringá,PR,-23.384167,-51.927862,Soma Soluções Imobiliárias,0,https://sub100.com.br/imoveis/34420000788/venda/casa-em-maringa-pr/zona-31
2820011722,8ec65b48-2e6d-428e-8228-64c8e150560c,sub100,Casa,Venda,"950.000,00",950000.0,5588.24,170.0,"0,00",0.0,"170,00",170.0,"288,00",288.0,1,2,4,3,,"Rua Maísa, 439 - Conjunto Residencial Cidade Alta, Maringá - PR",Rua Maísa,439,Conjunto Residencial Cidade Alta,Maringá,PR,-23.4643456,-51.92032039999999,Pedro Granado Imóveis,0,https://sub100.com.br/imoveis/2820011722/venda/casa-em-maringa-pr/conjunto-residencial-cidade-alta
10420000727,8f96e6ae-9c45-49ef-a06c-a236a70973f2,sub100,Casa,Venda,"950.000,00",950000.0,6641.96,143.03,"0,00",0.0,"143,03",143.03,"232,00",232.0,2,1,2,3,,"Rua Sebastião Domingos Sabaini, 147 - Jardim Itália, Maringá - PR",Rua Sebastião Domingos Sabaini,147,Jardim Itália,Maringá,PR,-23.45289729999999,-51.94821420000001,Moraes e Moraes Negócios Imobiliários,0,https://sub100.com.br/imoveis/10420000727/venda/casa-em-maringa-pr/jardim-italia
21420000256,7c1df0b2-c7e6-4ad1-a1d4-736e30056eb2,sub100,Casa,Venda,"950.000,00",950000.0,4536.34,209.42,"0,00",0.0,"209,42",209.42,"300,00",300.0,1,3,4,2,,"Rua Aurélio Quáglia, 631 - Jardim Monte Rei, Maringá - PR",Rua Aurélio Quáglia,631,Jardim Monte Rei,Maringá,PR,-23.4209995,-51.9330558,Beltrame Imóveis,0,https://sub100.com.br/imoveis/21420000256/venda/casa-em-maringa-pr/jardim-monte-rei
2020004049,833a397e-cd91-492e-9941-eaa3f009694a,sub100,Apartamento,Venda,"950.000,00",950000.0,6884.06,138.0,"138,00",138.0,"245,00",245.0,"245,00",245.0,0,3,5,2,,"Avenida João Paulino Vieira Filho, 1060, ap 902 - Zona 01 Centro, Maringá - PR",Avenida João Paulino Vieira Filho,1060,Zona 01 Centro,Maringá,PR,-23.4169801,-51.9426798,Lélo Imóveis,0,https://sub100.com.br/imoveis/2020004049/venda/apartamento-em-maringa-pr/zona-01-centro
2020004358,87f2b0eb-8b49-408d-8789-12eb7bdba1c1,sub100,Casa,Venda,"950.000,00",950000.0,6785.71,140.0,"0,00",0.0,"140,00",140.0,"140,00",140.0,2,1,3,2,,"Rua Pioneiro Carlos Poppi, 1559 - Jardim Liberdade, Maringá - PR",Rua Pioneiro Carlos Poppi,1559,Jardim Liberdade,Maringá,PR,-23.4104095,-51.8911434,Lélo Imóveis,0,https://sub100.com.br/imoveis/2020004358/venda/casa-em-maringa-pr/jardim-liberdade
19320000573,89eb1ec9-4ada-49b3-b36f-b4f1d13e6181,sub100,Sobrado,Venda,"950.000,00",950000.0,5722.89,166.0,"0,00",0.0,"166,00",166.0,"0,00",0.0,1,2,4,3,,"Rua Bonsai, 638, casa - Jardim Imperial II, Maringá - PR",Rua Bonsai,638,Jardim Imperial II,Maringá,PR,-23.392802,-51.938173,Auretto Negócios Imobiliários,0,https://sub100.com.br/imoveis/19320000573/venda/sobrado-em-maringa-pr/jardim-imperial-ii
34220000025,77cd4d75-1bed-48d9-95ca-6059886ae1c4,sub100,Casa,Venda,"950.000,00",950000.0,4523.81,210.0,"0,00",0.0,"210,00",210.0,"330,00",330.0,2,1,1,4,,"Rua Professor Jailton Saraiva, 834 - Jardim América, Maringá - PR",Rua Professor Jailton Saraiva,834,Jardim América,Maringá,PR,-23.4252247,-51.88897309999999,Bianchini Imóveis,0,https://sub100.com.br/imoveis/34220000025/venda/casa-em-maringa-pr/jardim-america
3420001823,7840a8e8-21b3-45bc-882c-ff0685b2c77e,sub100,Casa,Venda,"950.000,00",950000.0,5277.78,180.0,"0,00",0.0,"180,00",180.0,"255,00",255.0,3,0,1,2,,"Rodovia Pr-317, 246, 246 - Parque Industrial 200, Maringá - PR",Rodovia Pr-317,246,Parque Industrial 200,Maringá,PR,-23.3853545,-51.92797299999999,Shimizu Imóveis,0,https://sub100.com.br/imoveis/3420001823/venda/casa-em-maringa-pr/parque-industrial-200
8220000234,785117cf-8760-46bf-a766-0479b0ace035,sub100,Sobrado,Venda,"950.000,00",950000.0,5277.78,180.0,"0,00",0.0,"180,00",180.0,"177,00",177.0,0,3,4,2,,", 1 - Parque Avenida, Maringá - PR",,1,Parque Avenida,Maringá,PR,-23.3852877,-51.9262749,Madeira ML Empreendimentos Imobiliários,0,https://sub100.com.br/imoveis/8220000234/venda/sobrado-em-maringa-pr/parque-avenida
29220000227,7a0708f1-e0e9-4e18-95e4-d0aeaf433733,sub100,Apartamento,Venda,"950.000,00",950000.0,11176.47,85.0,"85,00",85.0,"168,00",168.0,"0,00",0.0,2,1,1,2,,"Avenida Londrina, 736 - Zona 08, Maringá - PR",Avenida Londrina,736,Zona 08,Maringá,PR,-23.435454,-51.9110311,Favarão Imóveis,0,https://sub100.com.br/imoveis/29220000227/venda/apartamento-em-maringa-pr/zona-08
90620000021,7a74f4bf-5382-4154-956a-128d8c702815,sub100,Apartamento,Venda,"950.000,00",950000.0,9047.62,105.0,"105,00",105.0,"172,00",172.0,"0,00",0.0,2,1,2,2,26,"Avenida Guedner, 891 - Zona 08, Maringá - PR",Avenida Guedner,891,Zona 08,Maringá,PR,-23.437832540834084,-51.91314697265625,Helaino Imoveis,0,https://sub100.com.br/imoveis/90620000021/venda/apartamento-em-maringa-pr/zona-08
