objectid,id,hash,matricula,cnm,cns,municipio_cod_ibge,lon,lat
207908,857322,ff676a67fd2e88e0e697b4d4c673581f08e8207329ccd3ea478a33450b64d520,0018213,1591862001821346,159186,4115200,-51.98257609999996,-23.39986049999993
207909,857323,7c25dc851ee85540baf4b387d44a388af0d01663506f07ece55ec5468d09b2e6,0018487,1591862001848797,159186,4115200,-51.96384869999997,-23.42634869999995
207910,857327,9cfb409b8391e9afd4462d8b8aa96f4f06858f1bcf8d4c304fdefce4ae0a5df0,0005433,1591862000543371,159186,4115200,-51.949149199999965,-23.419943399999966
207911,857328,05f860f94c12edb7f7abee20e80b9ef27c143c3aaa7d5c8c948081202c6754e7,0017863,1591862001786329,159186,4115200,-51.93638749999997,-23.42567329999997
207913,857330,12b1b4b8f4242e442d1b1957936a0b3fde32ff478ac4d6d289c998dcb4b1bdef,0002296,1591862000229673,159186,4115200,-51.975606899999946,-23.40539579999995
207914,857331,314241776e5210c631bece7c6dd245f0ab671b691e321e69e413a1acee2f4ac0,0009643,1591862000964351,159186,4115200,-51.945244299999956,-23.42181779999993
207915,857333,e25ff1ed917030d81649a2eaadd6368e0c8da82ceb8b1b32a96b5bba21575db2,0010845,1591862001084534,159186,4115200,-51.96069279999995,-23.42592689999998
207916,857334,86a6b5ddc773a17e712fd47e2f8b43e2b6dc32d0450ead4435bf5fd40f7ef398,0018493,1591862001849379,159186,4115200,-51.95605399999994,-23.42766599999993
207917,857335,865de0f701a88194cded464108f40facbf718e740e4811e16a847a1f12828136,0018485,1591862001848506,159186,4115200,-51.92363309999996,-23.38932529999994
207918,857337,b16ef20905ce5e28a2c5c307611849894630b2437d6d42df786a15d4dc5e9e19,0012689,1591862001268931,159186,4115200,-51.933002999999985,-23.422817299999963
207919,857338,06c38fb01b531eca4ef3884e730481c37e825d387a67b81ef144aecaa9feeabc,0009846,1591862000984624,159186,4115200,-51.95522619999997,-23.434282399999972
207920,857345,747aee89dd777143e27e4c125a26cd6b517c456a1d31e8c647578f61fece86a8,0015044,1591862001504447,159186,4115200,-51.978704499999935,-23.444223499999964
207921,857346,1f0bd8db22cef2f8584e203cda807208b9e7fd86f406342dc0aa46cf1f9ad5cf,0013521,1591862001352157,159186,4115200,-51.965029899999934,-23.422897099999943
207922,857347,6e68dd001fabe5dff8cfc356d863f1c6ef01ea4d63b04844bc81e6876fd2ebee,0005518,1591862000551810,159186,4115200,-51.949149199999965,-23.419943399999966
207924,857355,7ea256965da37406b0f6fcfd2effe04259be7a84821b3ff2178400a26c98062a,0009805,1591862000980550,159186,4115200,-51.95522619999997,-23.434282399999972
207925,857359,1550dc0b7a92950972063a8012dc5854f6811f9c107590ba6506521bab6ed2d5,0002227,1591862000222786,159186,4115200,-51.93540649999994,-23.42497839999993
207926,857361,9f7a1c98efc3a55a27c8cc5d8a7604d2a98559ba0280d16e3d017dc9107fda3b,0015079,1591862001507939,159186,4115200,-51.978704499999935,-23.444223499999964
207927,857364,f3799315c2bf97ffdfc93f8939f5fc5e43b2f670d0fbd13f820101c9487734ec,0015056,1591862001505611,159186,4115200,-51.978704499999935,-23.444223499999964
207928,857368,4cd500b3e37dd00e48ee4a869adce1f69186dd56ece9b164623cb84d434b1a69,0003317,1591862000331717,159186,4115200,-51.978704499999935,-23.444223499999964
207929,857370,49c103aa72c683f881fcb4db0f026788abca0f4ab4f13bb75bc34e6d3961ed4c,0018505,1591862001850543,159186,4115200,-51.95605399999994,-23.42766599999993
207930,857371,4ecbe563c21bfbae9bc5a7cfadb631725158818989dfd53ed7f1e687c829a69d,0001900,1591862000190097,159186,4115200,-51.95836529999997,-23.43485149999998
207931,857372,0454640d9162102083d0f7ddbd6233d3d8553b6a733eff9d30d55a9c707951da,0011383,1591862001138369,159186,4115200,-51.929543699999954,-23.369615599999975
207932,857374,a7bc54a64c0cca12278b948f850083e66e7516610b9b06f99308d18f6c1a3e85,0012327,1591862001232750,159186,4115200,-51.96663609999996,-23.432276899999977
207933,857376,78c0b670477a02c4f5b29bd08feb82063d086f80d28a9b47681a38243b86c22f,0018417,1591862001841716,159186,4115200,-51.93384279999998,-23.37790579999995
207934,857377,6754da4ccd0d3e3694fff4bc4228e870ce9b149a85fb36544eb38a400684b8e2,0012597,1591862001259716,159186,4115200,-51.94163809999998,-23.424657399999944
207936,857379,26f5ecd12327c401cdbcab4036a8fde6f08ed8c2116910918d235a9fdd3e390b,0008991,1591862000899167,159186,4115200,-51.95998059999994,-23.431613599999935
207937,857382,c6905dedd34e99a38b5077e095382900801bfeb1edd6b9694b8c8a9677094809,0018398,1591862001839873,159186,4115200,-51.933002999999985,-23.422817299999963
207938,857387,bb63c2cb6ec9fe0724b5267588dbf563be91b294c5d8059e1a6fd67b40d192c3,0005517,1591862000551713,159186,4115200,-51.949149199999965,-23.419943399999966
207939,857389,3f2be3df3ae55200b47a02b4f6533e92304f40c58425cb54f2baba1126af641b,0018742,1591862001874211,159186,4115200,-51.93146799999994,-23.37585649999994
207940,857392,552f9705a95d26618c963ad228fc03ed7b7f261e19135e9307d15aa2872c825b,0018730,1591862001873047,159186,4115200,-51.94326609999996,-23.42081019999995
207941,857394,afa9cce5dac30a3e726292562d8b56c6ed0ab836bfd613bfd36e20c6d05767e9,0014065,1591862001406574,159186,4115200,-51.95797019999998,-23.422713599999952
207942,857397,d9a0f3012c4b8e718389499accedac04ff1458661866cf1e0d4cf2b3f066eae2,0010761,1591862001076192,159186,4115200,-51.93638749999997,-23.42567329999997
207943,857399,a6762db7945142a04dafb05b3dd5a169248eff519d8ee0a3b575e39984ad0a70,0014891,1591862001489121,159186,4115200,-51.978704499999935,-23.444223499999964
207944,857400,6c91385c089189de2925349a49a9fab946d8608ef09bcfd0b8fbcbcecb1e0cd5,0014127,1591862001412782,159186,4115200,-51.95797019999998,-23.422713599999952
207945,857401,3ffc879c9f09a7dcfef6c8e1d297b7ca4b82bce3bc3a980cd694a794ae561192,0000493,1591862000049350,159186,4115200,-51.978704499999935,-23.444223499999964
207946,857402,645da9d2aeabce91336540c3bd45108647cd2286722564c9e8d499771eae1d8e,0014114,1591862001411424,159186,4115200,-51.95583149999993,-23.42215619999996
207947,857404,ef703a02036dec1523bc18727bfecaa875079aed0123f7cb5f5a9798983ce77c,0004924,1591862000492446,159186,4115200,-51.935402599999975,-23.424459699999943
207948,857407,2a4875cec80a562d83efb55f9588aace81016c370b00d8675030e3fc0d9467e2,0012559,1591862001255933,159186,4115200,-51.933740899999975,-23.37679399999996
207949,857410,8e43a0640657a52daf99762b84fb8b59dbadad8e1d9cb5a59d6f6ecc201d2aee,0018651,1591862001865190,159186,4115200,-51.929675299999985,-23.38486309999996
207950,857411,055978bb3edc89c6611b107b5528164e3afab6dcdba4a075ff5841e879109e50,0011953,1591862001195308,159186,4115200,-51.98887949999994,-23.400386999999967
207951,857412,de58614501978c350ba637ed39c61bf18f26883c727031499c94c9e71fc653cd,0018026,1591862001802625,159186,4115200,-51.933002999999985,-23.422817299999963
207952,857413,ea00179c6459f783bc92510a9ae614829a40ecf908ed251644ead17761045cee,0018510,1591862001851028,159186,4115200,-51.950622599999974,-23.42692569999997
207953,857414,b5ef5eb7ce30555c9bb259769bc89af2ba8f3c604d50e1727796f361115696ff,0015050,1591862001505029,159186,4115200,-51.978704499999935,-23.444223499999964
207954,857416,b0650bd41d98d9eecff9bddeb20d2b8ce9741c17becabf69256dc0f513c6eae6,0003561,1591862000356161,159186,4115200,-51.978704499999935,-23.444223499999964
207955,857420,75d55d874949d657f58e30497c10c5511802643ae91c78952123ead54b7b3e42,0009624,1591862000962411,159186,4115200,-51.945244299999956,-23.42181779999993
207956,857421,6e48f1989dd51e8cb4dfd1b5548758e4c0be067b557831f39bf544d771b77350,0001346,1591862000134613,159186,4115200,-51.97747019999997,-23.41383849999994
207957,857422,41b0331c7716c44eb8ce0f6f89d1463cefb369ba6f81887c47b2ee86f1f8a668,0014111,1591862001411133,159186,4115200,-51.95583149999993,-23.42215619999996
207958,857426,156e527f3a1c4cf264cbc95ae8f9f67b55416f558cc2a06aa7dc5a0e6fdfd223,0018669,1591862001866936,159186,4115200,-51.93229319999995,-23.376350499999944
207959,857427,79891399366d5df252795aba3b1a55efb728842fd1daff3acf6fd2866116fbf9,0008412,1591862000841258,159186,4115200,-51.929899399999954,-23.368541799999946
207960,857428,fe634f6b99ecaa7d1e8921fbd4d2d589730849dbd6468b80b3e361cc10027235,0014075,1591862001407544,159186,4115200,-51.95583149999993,-23.42215619999996
207961,857430,a4d75bffb863680e98ddb1a45ec9d9fe48aa6de53bc09e69f79007c8f6afab7a,0007677,1591862000767732,159186,4115200,-51.945244299999956,-23.42181779999993
207962,857431,98828d414d5a31b9a2fa034ea48740641822accceef2c993baffbbf3d75593a9,0013875,1591862001387562,159186,4115200,-51.97327629999995,-23.430311899999936
207963,857432,f8830d077b14dd29a737f9338fc12b75bb518f1380ee389ac99eddf42dbefa70,0014100,1591862001410066,159186,4115200,-51.95583149999993,-23.42215619999996
207964,857433,8d2ab959b4629b5c403f2431c4f9d9da8b996b1903e1ab92caa15b796f2d0da7,0014068,1591862001406865,159186,4115200,-51.95797019999998,-23.422713599999952
207965,857436,115487d8b2249c654597203fb30c60140d76a0cb61edc341c93f82c749917b1a,0004596,1591862000459660,159186,4115200,-51.937046899999984,-23.428917299999966
207966,857437,f1f4f20819393b8272cebbfc80276b42a1f37919e1f5f36e3f2bf8810212b034,0014092,1591862001409290,159186,4115200,-51.95583149999993,-23.42215619999996
207968,857440,2e8d0e795c7256081aa19bef8951d914f50fb77cd07d7225d727fd71cdcea2ca,0014116,1591862001411618,159186,4115200,-51.95583149999993,-23.42215619999996
207969,857442,53c32d876dc44bf703a5716aa739b979dc67b946031ecd1c590a1a6f385a78a8,0018668,1591862001866839,159186,4115200,-51.97604219999994,-23.39481889999996
207970,857443,2be01a4da233b9ff46bd16f0e8a5f5906a654f66c846acc98b27a473820da1e3,0010342,1591862001034288,159186,4115200,-51.935522799999944,-23.424069199999963
207971,857449,0b099f65710b692e016e93ccefb8e397910aed415ec3716b7abaf195f4082db5,0018357,1591862001835702,159186,4115200,-51.95836529999997,-23.43485149999998
207972,857451,0f131f74dcf1afbd4110fdf276e6a5bd88306cb19fb768f923e0c6f9b5635124,0018134,1591862001813489,159186,4115200,-51.97948199999996,-23.411608499999943
207973,857453,d6537b1aa5171e51dd59bfa1241b1636dd30a0cbacdbd399a0e4a381cb673b26,0014124,1591862001412491,159186,4115200,-51.95583149999993,-23.42215619999996
207974,857455,b1539862843811cc593bdb8c05b341d511c0c1e56e4e50319c1451308d020725,0014106,1591862001410648,159186,4115200,-51.95583149999993,-23.42215619999996
207975,857456,f4e9ba96c782fe07085be1f514389d1a607653f3c19ddb7c59fc3971b47ec02d,0014085,1591862001408514,159186,4115200,-51.95797019999998,-23.422713599999952
